"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"14058","consentA2.html","external-html","0","2.0.0","14089","dfzlw7nbc11apo7","true","21","weiblich","rechts","Deutsch","","","","","","","","","","","","",""
"1109","","fullscreen","1","2.0.0","16203","dfzlw7nbc11apo7","true","21","weiblich","rechts","Deutsch","true","","","","","","","","","","","",""
"2064","","survey-text","2","2.0.0","18288","dfzlw7nbc11apo7","true","21","weiblich","rechts","Deutsch","","demo","{""Q0"":""21""}","","","","","","","","","",""
"4859","","survey-multi-choice","3","2.0.0","23149","dfzlw7nbc11apo7","true","21","weiblich","rechts","Deutsch","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","34257","dfzlw7nbc11apo7","true","21","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","36665","dfzlw7nbc11apo7","true","21","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","39251","dfzlw7nbc11apo7","true","21","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"2730","","html-keyboard-response","7","2.0.0","41983","dfzlw7nbc11apo7","true","21","weiblich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"3725","","html-keyboard-response","8","2.0.0","45710","dfzlw7nbc11apo7","true","21","weiblich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","46716","dfzlw7nbc11apo7","true","21","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
