"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"32694","consentA2.html","external-html","0","2.0.0","32741","dhvx2lq4ugvjkp8","true","23","weiblich","rechts","Deutsch","","","","","","","","","","","","",""
"1831","","fullscreen","1","2.0.0","35575","dhvx2lq4ugvjkp8","true","23","weiblich","rechts","Deutsch","true","","","","","","","","","","","",""
"4650","","survey-text","2","2.0.0","40277","dhvx2lq4ugvjkp8","true","23","weiblich","rechts","Deutsch","","demo","{""Q0"":""23""}","","","","","","","","","",""
"6761","","survey-multi-choice","3","2.0.0","47040","dhvx2lq4ugvjkp8","true","23","weiblich","rechts","Deutsch","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","238327","dhvx2lq4ugvjkp8","true","23","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","257261","dhvx2lq4ugvjkp8","true","23","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","284874","dhvx2lq4ugvjkp8","true","23","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"29741","","html-keyboard-response","7","2.0.0","314614","dhvx2lq4ugvjkp8","true","23","weiblich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"7650","","html-keyboard-response","8","2.0.0","322266","dhvx2lq4ugvjkp8","true","23","weiblich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","323277","dhvx2lq4ugvjkp8","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
