"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"5122","consentA2.html","external-html","0","2.0.0","5174","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","","","","","","","","","","","","",""
"2383","","fullscreen","1","2.0.0","8563","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","true","","","","","","","","","","","",""
"3186","","survey-text","2","2.0.0","11760","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","","demo","{""Q0"":""20""}","","","","","","","","","",""
"9591","","survey-multi-choice","3","2.0.0","21359","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","27005","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","27734","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","29465","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"2078","","html-keyboard-response","7","2.0.0","31546","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"1470","","html-keyboard-response","8","2.0.0","33018","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","34023","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","35027","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_10.jpg"">
      <p class=""person-name"">Janina</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","36031","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","12","2.0.0","37035","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_68.jpg"">
      <p class=""person-name"">Aurelia</p>
    ","","","",""
"null","","html-keyboard-response","13","2.0.0","38038","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","14","2.0.0","39042","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_85.jpg"">
      <p class=""person-name"">Maja</p>
    ","","","",""
"null","","html-keyboard-response","15","2.0.0","40044","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","16","2.0.0","41048","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_54.jpg"">
      <p class=""person-name"">Marlene</p>
    ","","","",""
"null","","html-keyboard-response","17","2.0.0","42050","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","18","2.0.0","43054","as620t1hlgwdqsv","true","20","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_31.jpg"">
      <p class=""person-name"">Elisabeth</p>
    ","","","",""
