"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"977194","consentA2.html","external-html","0","2.0.0","977362","2882ktvjhoxad2u","true","21","weiblich","links","Deutsch","","","","","","","","","","","","",""
"1241","","fullscreen","1","2.0.0","979611","2882ktvjhoxad2u","true","21","weiblich","links","Deutsch","true","","","","","","","","","","","",""
"7260","","survey-text","2","2.0.0","986896","2882ktvjhoxad2u","true","21","weiblich","links","Deutsch","","demo","{""Q0"":""21""}","","","","","","","","","",""
"4447","","survey-multi-choice","3","2.0.0","991346","2882ktvjhoxad2u","true","21","weiblich","links","Deutsch","","","{""gender"":""weiblich"",""handedness"":""links"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","995895","2882ktvjhoxad2u","true","21","weiblich","links","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","996229","2882ktvjhoxad2u","true","21","weiblich","links","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","996595","2882ktvjhoxad2u","true","21","weiblich","links","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"1957","","html-keyboard-response","7","2.0.0","998554","2882ktvjhoxad2u","true","21","weiblich","links","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"911","","html-keyboard-response","8","2.0.0","999467","2882ktvjhoxad2u","true","21","weiblich","links","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","1000475","2882ktvjhoxad2u","true","21","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","1001478","2882ktvjhoxad2u","true","21","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_7.jpg"">
      <p class=""person-name"">Axel</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","1002483","2882ktvjhoxad2u","true","21","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","12","2.0.0","1003486","2882ktvjhoxad2u","true","21","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_5.jpg"">
      <p class=""person-name"">Pia</p>
    ","","","",""
"null","","html-keyboard-response","13","2.0.0","1004491","2882ktvjhoxad2u","true","21","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","14","2.0.0","1005495","2882ktvjhoxad2u","true","21","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_59.jpg"">
      <p class=""person-name"">Clemens</p>
    ","","","",""
"null","","html-keyboard-response","15","2.0.0","1006510","2882ktvjhoxad2u","true","21","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
