"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"12064","consentA2.html","external-html","0","2.0.0","12086","q4f85mgtb1bqbh1","true","23","weiblich","rechts","Deutsch","","","","","","","","","","","","",""
"2412","","fullscreen","1","2.0.0","15516","q4f85mgtb1bqbh1","true","23","weiblich","rechts","Deutsch","true","","","","","","","","","","","",""
"3892","","survey-text","2","2.0.0","19422","q4f85mgtb1bqbh1","true","23","weiblich","rechts","Deutsch","","demo","{""Q0"":""23""}","","","","","","","","","",""
"3981","","survey-multi-choice","3","2.0.0","23407","q4f85mgtb1bqbh1","true","23","weiblich","rechts","Deutsch","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","25650","q4f85mgtb1bqbh1","true","23","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","25974","q4f85mgtb1bqbh1","true","23","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","26835","q4f85mgtb1bqbh1","true","23","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"860","","html-keyboard-response","7","2.0.0","27696","q4f85mgtb1bqbh1","true","23","weiblich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"4531","","html-keyboard-response","8","2.0.0","32227","q4f85mgtb1bqbh1","true","23","weiblich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","33255","q4f85mgtb1bqbh1","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","34260","q4f85mgtb1bqbh1","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_37.jpg"">
      <p class=""person-name"">Veronika</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","35289","q4f85mgtb1bqbh1","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","12","2.0.0","36293","q4f85mgtb1bqbh1","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_54.jpg"">
      <p class=""person-name"">Zoe</p>
    ","","","",""
