"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"58299","consentA2.html","external-html","0","2.0.0","58624","0fsedrn20s7d3na","true","30","m&aumlnnlich","rechts","Deutsch","","","","","","","","","","","","",""
"1680","","fullscreen","1","2.0.0","61311","0fsedrn20s7d3na","true","30","m&aumlnnlich","rechts","Deutsch","true","","","","","","","","","","","",""
"4070","","survey-text","2","2.0.0","65474","0fsedrn20s7d3na","true","30","m&aumlnnlich","rechts","Deutsch","","demo","{""Q0"":""30""}","","","","","","","","","",""
"7544","","survey-multi-choice","3","2.0.0","73023","0fsedrn20s7d3na","true","30","m&aumlnnlich","rechts","Deutsch","","","{""gender"":""m&aumlnnlich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","198842","0fsedrn20s7d3na","true","30","m&aumlnnlich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","209554","0fsedrn20s7d3na","true","30","m&aumlnnlich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","243940","0fsedrn20s7d3na","true","30","m&aumlnnlich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"106074","","html-keyboard-response","7","2.0.0","350016","0fsedrn20s7d3na","true","30","m&aumlnnlich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"6283","","html-keyboard-response","8","2.0.0","356302","0fsedrn20s7d3na","true","30","m&aumlnnlich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","357314","0fsedrn20s7d3na","true","30","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
