"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"31096","consentA2.html","external-html","0","2.0.0","31162","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","","","","","","","","","","",""
"3722","","fullscreen","1","2.0.0","35897","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","true","","","","","","","","","","","",""
"3924","","survey-text","2","2.0.0","39833","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","demo","{""Q0"":""20""}","","","","","","","","","",""
"7113","","survey-multi-choice","3","2.0.0","46952","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","{""gender"":""weiblich"",""handedness"":""links"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","51320","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","52565","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","54071","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"2205","","html-keyboard-response","7","2.0.0","56276","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","j","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"8934","","html-keyboard-response","8","2.0.0","65212","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","j","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","66235","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","67252","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_49.jpg"">
      <p class=""person-name"">Sina</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","68265","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","12","2.0.0","69282","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_38.jpg"">
      <p class=""person-name"">Nadine</p>
    ","","","",""
"null","","html-keyboard-response","13","2.0.0","70296","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","14","2.0.0","71304","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_48.jpg"">
      <p class=""person-name"">Guido</p>
    ","","","",""
"null","","html-keyboard-response","15","2.0.0","72318","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","16","2.0.0","73330","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_78.jpg"">
      <p class=""person-name"">Zoe</p>
    ","","","",""
"null","","html-keyboard-response","17","2.0.0","74341","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","18","2.0.0","75348","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_95.jpg"">
      <p class=""person-name"">Johanna</p>
    ","","","",""
"null","","html-keyboard-response","19","2.0.0","76374","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","20","2.0.0","77378","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_25.jpg"">
      <p class=""person-name"">Aaron</p>
    ","","","",""
"null","","html-keyboard-response","21","2.0.0","78391","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","22","2.0.0","79393","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_64.jpg"">
      <p class=""person-name"">Johannes</p>
    ","","","",""
"null","","html-keyboard-response","23","2.0.0","80402","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","24","2.0.0","81410","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_10.jpg"">
      <p class=""person-name"">Klara</p>
    ","","","",""
"null","","html-keyboard-response","25","2.0.0","82433","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","26","2.0.0","83435","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_51.jpg"">
      <p class=""person-name"">Friedrich</p>
    ","","","",""
"null","","html-keyboard-response","27","2.0.0","84460","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","28","2.0.0","85476","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_51.jpg"">
      <p class=""person-name"">Ariane</p>
    ","","","",""
"null","","html-keyboard-response","29","2.0.0","86491","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","30","2.0.0","87505","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_58.jpg"">
      <p class=""person-name"">Ronja</p>
    ","","","",""
"null","","html-keyboard-response","31","2.0.0","88532","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","32","2.0.0","89539","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_86.jpg"">
      <p class=""person-name"">Marius</p>
    ","","","",""
"null","","html-keyboard-response","33","2.0.0","90567","3ld13jft8ob2qkp","true","20","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
